	cik	gvkey	sic_list
	815065 	25313 	['384']
	23503 	3399 	['367']
	351139 	6638 	['737']
	1009829 	62745 	['394']
	27613 	3833 	['239']
	316672 	2908 	['366', '871']
	841939 	15113 	['384']
	1044612 	65711 	['793', '394']
	31235 	4194 	['386']
	771266 	25166 	['367']
	1011418 	65880 	['737']
	1063880 	64899 	['481', '489']
	713002 	4807 	['356']
	946665 	61532 	['737']
	946661 	61276 	['283']
	109198 	11672 	['565', '571']
	889872 	62488 	['283']
	1098146 	30647 	['602']
	1038083 	125978 	['799']
	706015 	13525 	['357', '737']
	1095480 	127279 	['873']
	859014 	26011 	['737']
	1051741 	109683 	['603']
	838875 	30666 	['208']
	794323 	13440 	['122', '481', '737']
	883980 	25157 	['609', '737']
	889609 	25852 	['615']
	1000229 	61759 	['138']
	934795 	31763 	['233']
	77281 	8457 	['679']
	796038 	12480 	['871', '873', '339']
	92081 	9880 	['602']
	1094285 	126721 	['366', '737']
	1094286 	126722 	['356']
	866729 	9466 	['273', '781']
	1093082 	5792 	['503']
	912219 	29423 	['603']
	1014041 	63291 	['721']
	354647 	20019 	['602']
	1027183 	64584 	['602']
	59880 	6765 	['373', '367', '737', '381']
	13610 	2346 	['275', '737']
	19704 	2975 	['364', '367', '357']
	96412 	10345 	['205']
	75288 	8219 	['231', '232', '233']
	1050167 	111723 	['504']
	310142 	11012 	['209', '286']
	852450 	17198 	['616']
	744485 	24278 	['602']
	90811 	1573 	['541']
	773136 	12077 	['806']
	51103 	6053 	['344', '335', '323']
	63908 	7154 	['581']
	1058033 	7672 	['451']
	1001902 	61587 	['355', '382']
	700721 	1523 	['738']
	105634 	6223 	['173']
	710597 	6608 	['366']
	1058290 	111864 	['737']
	828750 	14386 	['596']
	357208 	16550 	['602']
	1058299 	123016 	['737']
	46653 	5569 	['736']
	1093885 	126322 	['366']
	205700 	7835 	['276', '511']
	947427 	61253 	['737']
	877890 	61676 	['737']
	311817 	5408 	['679']
	821616 	14285 	['283']
	824225 	31530 	['357', '367']
	874015 	24040 	['283']
	870517 	23592 	['602']
	879022 	24511 	['737']
	722572 	14112 	['357']
	45876 	5496 	['349', '339', '344']
	874019 	64936 	['382']
	888165 	4666 	['628']
	785080 	12102 	['484']
	1002225 	61557 	['737']
	1020186 	65107 	['518']
	929941 	31007 	['799']
	929940 	30870 	['737']
	1002590 	61735 	['598']
	1079023 	119217 	['355']
	1135185 	61155 	['452']
	943742 	64054 	['274']
	855182 	30233 	['367', '355']
	1017815 	63593 	['342']
	914670 	29669 	['874']
	6814 	6809 	['736']
	798736 	12620 	['737']
	40888 	5018 	['376', '306']
	918160 	29968 	['331']
	53500 	6259 	['381']
	1002047 	61591 	['357']
	18937 	2888 	['329', '367']
	63276 	7116 	['394', '737']
	931683 	31172 	['799', '651']
	895565 	25480 	['495']
	30625 	4108 	['356', '349', '305']
	856984 	21505 	['283']
	875942 	28618 	['737']
	1067092 	1998 	['602']
	856982 	21777 	['384']
	793074 	12266 	['421']
	356342 	7430 	['289']
	887124 	27773 	['566']
	884731 	30674 	['283']
	719413 	5560 	['145', '104']
	353191 	63814 	['602']
	1089044 	123097 	['621']
	822697 	19346 	['602']
	716133 	3036 	['481', '738']
	917639 	29822 	['366']
	917321 	29757 	['519']
	928395 	30994 	['514', '871']
	319489 	1148 	['621']
	890784 	22601 	['737']
	751652 	8873 	['492', '517']
	725058 	12274 	['283']
	811596 	24293 	['281', '333', '335']
	102109 	11027 	['506']
	858558 	20783 	['273', '272']
	830656 	63901 	['283', '873']
	1070052 	119836 	['737']
	225868 	9191 	['382', '355']
	225648 	23485 	['633']
	924648 	30557 	['332']
	1027532 	65669 	['807']
	35214 	4622 	['281', '286', '285']
	924645 	30563 	['275']
	1050377 	66586 	['596']
	924646 	30608 	['736']
	1080922 	121938 	['871', '874']
	715446 	12717 	['357']
	1030715 	64602 	['508']
	355473 	7007 	['329', '295']
	763950 	12593 	['382']
	1065049 	114484 	['481']
	886475 	25845 	['731']
	888491 	25633 	['679']
	1143068 	6334 	['491', '679']
	926866 	30692 	['679']
	1038271 	66070 	['737']
	1038277 	65280 	['283']
	926861 	31794 	['679']
	737300 	11286 	['737']
	1019361 	63651 	['369']
	1085653 	127436 	['737']
	1070517 	65895 	['602']
	1057352 	112111 	['737']
	741516 	17367 	['602']
	1013272 	66155 	['602']
	19913 	3002 	['653']
	880458 	24767 	['737']
	1073794 	121134 	['737']
	1037388 	61340 	['489']
	100030 	10301 	['371', '367', '376', '737', '372']
	1050080 	115314 	['679']
	1059363 	111408 	['275']
	69999 	7718 	['737', '357']
	755933 	16896 	['602']
	905428 	29063 	['737']
	1049502 	119275 	['382']
	905134 	28714 	['679']
	1014672 	127455 	['382']
	1004990 	62109 	['591']
	712752 	9718 	['355']
	1023516 	64282 	['366']
	821572 	14382 	['202']
	773588 	6452 	['781']
	789863 	12047 	['614', '527', '245']
	820738 	13940 	['737']
	920424 	30146 	['621']
	920427 	62243 	['602']
	49899 	16887 	['602']
	820736 	21496 	['381', '366', '376']
	1001250 	61567 	['284']
	868326 	61257 	['355']
	1001258 	61544 	['615']
	911360 	28895 	['208']
	45791 	8390 	['562']
	350403 	8515 	['452']
	1052837 	112178 	['283']
	1003078 	61732 	['508']
	54991 	6370 	['382']
	1006591 	63771 	['737']
	18540 	2847 	['491']
	1053307 	30127 	['603']
	890908 	25312 	['808', '874', '806', '801']
	106640 	11465 	['363']
	894572 	62511 	['737', '824']
	69834 	7700 	['602']
	1078425 	120296 	['737']
	54193 	6313 	['596', '679']
	1123276 	119535 	['603']
	911583 	63424 	['393']
	1271193 	63769 	['335']
	278041 	6115 	['441', '442', '444']
	96294 	10333 	['511', '594', '251']
	814249 	13501 	['504', '737']
	718130 	22059 	['737', '506']
	863110 	17341 	['494']
	1024339 	64173 	['737']
	1064236 	114979 	['603']
	23071 	3333 	['367']
	1069353 	116526 	['367']
	1069602 	127274 	['484']
	864839 	28791 	['131']
	785557 	12304 	['736', '872']
	914536 	29647 	['736']
	914537 	62710 	['581']
	1009802 	63106 	['367']
	1028965 	64538 	['335']
	1052303 	113425 	['366']
	701288 	1234 	['384']
	945384 	61068 	['737']
	729284 	7179 	['357', '314', '504', '275']
	745981 	28152 	['602']
	740670 	7316 	['594']
	1036044 	65552 	['357']
	1063942 	119154 	['603']
	89498 	9643 	['227']
	816247 	13590 	['821']
	1081404 	124976 	['738', '737']
	1421100 	64509 	['233']
	886046 	25355 	['384']
	1011290 	62922 	['533', '519']
	1399315 	7067 	['602']
	1068912 	117035 	['603']
	80661 	13341 	['633', '630']
	928423 	61322 	['794']
	1065984 	123014 	['737']
	65201 	7281 	['356']
	714655 	2226 	['283']
	852618 	105698 	['602']
	863015 	25314 	['799']
	1092917 	124675 	['596']
	350797 	4201 	['628']
	1041665 	25823 	['633']
	934448 	62016 	['731']
	1528849 	111873 	['571', '596']
	923603 	30495 	['679']
	1004524 	62474 	['603']
	1004526 	61868 	['561']
	943206 	31880 	['820']
	2186 	1117 	['366']
	796486 	12484 	['484', '481']
	1027258 	64301 	['602']
	1020579 	65242 	['737']
	104030 	11249 	['738', '874', '736']
	314340 	9573 	['509', '679']
	894010 	102617 	['504', '874']
	897067 	63600 	['355']
	19584 	2960 	['808', '171']
	1059760 	61701 	['701']
	1059763 	112473 	['394']
	880059 	63907 	['820']
	704415 	24396 	['806']
	1020616 	63741 	['738', '737']
	722080 	4205 	['104']
	74208 	10894 	['679']
	911167 	31455 	['367']
	857499 	31267 	['602']
	1093207 	125276 	['357']
	1077370 	122263 	['737']
	947156 	64799 	['131']
	42316 	5218 	['162', '147']
	1070985 	65084 	['679']
	320174 	1951 	['384']
	352495 	10422 	['357']
	874038 	24037 	['808']
	911801 	106228 	['265']
	45635 	9308 	['366']
	350894 	9317 	['737', '628']
	764843 	13831 	['737']
	352949 	4769 	['514', '541']
	802851 	14938 	['367']
	1013044 	63523 	['602']
	1087277 	124320 	['737']
	1273931 	5342 	['738', '609', '472']
	352947 	4371 	['281', '509']
	937941 	31674 	['596']
	772572 	13630 	['372', '354', '382']
	16918 	2710 	['208', '518']
	809428 	22974 	['131', '517']
	731245 	8734 	['679']
	97472 	10498 	['327', '331']
	12208 	2220 	['382']
	97476 	10499 	['367', '362', '357', '737']
	1466258 	5959 	['353', '356', '342']
	911115 	28958 	['332']
	9779 	2033 	['345', '508', '349']
	57139 	6534 	['381', '367']
	1028285 	65175 	['737']
	1049711 	66616 	['283']
	1039242 	124177 	['737']
	1021561 	64028 	['512']
	8868 	1920 	['284']
	1089953 	124794 	['483']
	716688 	7350 	['367', '356']
	728258 	10899 	['203']
	786557 	12397 	['283']
	96988 	10417 	['738']
	310876 	12307 	['871']
	919722 	62382 	['283']
	945446 	60955 	['737']
	822818 	14027 	['495']
	814055 	62257 	['737']
	945441 	61048 	['382', '737']
	804269 	17197 	['615']
	1127777 	63455 	['603']
	851397 	61443 	['355']
	1042809 	65569 	['594']
	1042801 	66096 	['603']
	907687 	28678 	['367']
	1046131 	66438 	['750']
	1027884 	64549 	['179']
	1027881 	65870 	['203']
	1023731 	65021 	['367']
	934852 	31537 	['596', '679']
	1161396 	66519 	['367']
	50863 	6008 	['367']
	1000787 	61550 	['737']
	1018963 	10405 	['331', '335', '281']
	1044942 	66435 	['806']
	758604 	2508 	['251']
	882287 	24931 	['805', '591', '806']
	1040896 	126020 	['367']
	1084609 	122680 	['731']
	102710 	11091 	['572', '598', '492']
	931074 	31522 	['603']
	792013 	16955 	['633']
	1034365 	65716 	['366']
	755003 	7107 	['347', '339', '308']
	1015293 	63607 	['131']
	1015298 	63832 	['329']
	319201 	6304 	['382']
	1012956 	63728 	['641']
	82409 	61987 	['152', '653', '615', '154']
	1064015 	17982 	['615']
	73609 	8067 	['245', '615', '635']
	929351 	28378 	['781']
	1037540 	64925 	['679']
	74058 	8109 	['359']
	915916 	29643 	['283']
	915913 	29751 	['289', '281']
	915912 	29875 	['679']
	1060749 	112366 	['621']
	74260 	14828 	['633', '636', '635']
	55785 	6435 	['262', '267']
	1010002 	66185 	['602']
	946144 	61027 	['357']
	1060744 	111627 	['679']
	898660 	28317 	['799']
	1135971 	8694 	['491', '679', '762']
	768162 	12051 	['358']
	92769 	9937 	['367']
	859737 	20904 	['384']
	740112 	3373 	['609']
	845877 	15153 	['611']
	1057334 	120823 	['737']
	1070534 	120593 	['874']
	1018035 	120818 	['737']
	1021810 	31888 	['737', '735']
	912643 	64507 	['357']
	43837 	5334 	['594']
	880285 	24810 	['461']
	899047 	28305 	['367']
	878720 	24545 	['560']
	878230 	24691 	['807', '872']
	1049521 	66393 	['737']
	878725 	24662 	['384']
	878726 	11944 	['533']
	824719 	113832 	['602']
	1089720 	105951 	['602']
	1014653 	64688 	['738']
	801337 	17150 	['603']
	720002 	23111 	['602']
	720005 	8898 	['621', '628']
	801338 	12697 	['873']
	837759 	15306 	['131']
	723612 	3278 	['679', '729', '641', '653', '751', '616']
	1053148 	106900 	['737']
	801622 	13025 	['733']
	923473 	61095 	['245', '616']
	1063085 	113361 	['382']
	21267 	3130 	['492', '291', '131', '499', '122']
	350426 	8627 	['517', '131']
	101984 	27828 	['365']
	1164727 	7881 	['104']
	799698 	13184 	['283', '736']
	18568 	2849 	['602']
	14846 	1949 	['679']
	799166 	16924 	['603']
	799167 	12625 	['421']
	799165 	13174 	['138']
	890923 	25918 	['362', '282']
	890924 	25786 	['357', '366']
	890926 	25895 	['635']
	102752 	11065 	['871', '737']
	785161 	12589 	['809']
	820242 	14111 	['394']
	875045 	24468 	['283']
	106926 	11482 	['602']
	1141185 	6403 	['281']
	805054 	14145 	['737', '824', '617']
	949536 	61441 	['483']
	914735 	30355 	['679']
	1140859 	31673 	['512']
	932697 	60943 	['603']
	932696 	31453 	['596']
	918646 	30032 	['324', '327', '329']
	918647 	29918 	['355']
	718449 	10266 	['501']
	918642 	29904 	['308']
	932698 	64612 	['596']
	916822 	31663 	['603']
	768835 	12123 	['533', '594']
	1071255 	117036 	['799']
	849240 	66050 	['349']
	727008 	4162 	['384']
	887733 	25536 	['519', '13', '284']
	1007330 	62494 	['872']
	808013 	13760 	['308']
	857953 	21488 	['367', '355']
	743029 	12467 	['308', '347']
	26990 	12730 	['737']
	1036992 	64888 	['596']
	37643 	4801 	['491', '494', '492', '598']
	705408 	9398 	['581']
	1081393 	120825 	['737']
	1075316 	118446 	['737']
	893160 	63385 	['283']
	893162 	29085 	['382']
	1047188 	113533 	['283']
	1061322 	113491 	['481', '162']
	47254 	10724 	['737']
	23019 	3365 	['736']
	744962 	12828 	['283']
	88296 	9567 	['541']
	1059969 	12854 	['790']
	24741 	3532 	['326', '335']
	1085098 	122474 	['737']
	1038363 	65074 	['505', '344']
	108312 	11580 	['372', '362']
	110985 	3574 	['783', '655']
	726513 	10726 	['271', '483', '273']
	726512 	2616 	['512']
	726514 	4274 	['369']
	726517 	16929 	['602']
	1085095 	121513 	['621']
	792977 	12250 	['283']
	1060024 	112088 	['209', '203']
	916485 	30732 	['736']
	869495 	29675 	['345']
	217084 	11531 	['363']
	1037737 	122361 	['737']
	796317 	17908 	['602']
	1047499 	122316 	['737']
	19745 	2986 	['517', '737', '492']
	56868 	6311 	['131']
	94344 	10086 	['636']
	1036283 	64859 	['507']
	1050122 	66425 	['596']
	900741 	28904 	['603']
	945734 	66673 	['603']
	51143 	6066 	['357', '737', '615']
	1038339 	65048 	['679']
	921503 	30219 	['399']
	874238 	5559 	['501']
	909111 	28900 	['679']
	64578 	7208 	['384']
	766421 	1230 	['451']
	1045035 	65586 	['357']
	795665 	12434 	['509']
	1022893 	64387 	['736', '824']
	820526 	14383 	['371']
	1039889 	116503 	['581']
	855612 	16531 	['737']
	873603 	24029 	['369']
	105189 	11328 	['153']
	873601 	23953 	['821', '835', '822']
	929900 	60906 	['384']
	944480 	61077 	['737']
	357301 	17245 	['602']
	745469 	11797 	['354']
	1056874 	61534 	['364', '384', '342', '363']
	745394 	6678 	['287']
	1109304 	1762 	['308', '329', '242']
	1058438 	115121 	['603']
	833081 	14908 	['138']
	1058430 	122377 	['596']
	1021549 	64075 	['516']
	760498 	28022 	['602']
	854093 	29459 	['384']
	854094 	16420 	['271']
	854098 	16837 	['602']
	854099 	17232 	['384']
	810332 	13241 	['451']
	24104 	3465 	['358', '327']
	911626 	29021 	['573']
	1089979 	124598 	['596']
	1067489 	116831 	['602']
	312037 	14647 	['131']
	1008654 	62897 	['308']
	1003130 	61900 	['809']
	356309 	7849 	['651', '517']
	868512 	30152 	['271']
	818033 	13786 	['282']
	798955 	62590 	['571']
	860673 	4024 	['494']
	944739 	60846 	['367']
	793961 	12365 	['737']
	1042821 	65491 	['737']
	3000 	1213 	['451']
	1042824 	65629 	['679']
	1042825 	65554 	['367']
	928358 	116144 	['603']
	1046112 	65923 	['394']
	729986 	17248 	['602']
	1012394 	63100 	['384']
	1012393 	63102 	['501']
	1070602 	122114 	['382']
	84581 	65655 	['141', '328', '599']
	913283 	64782 	['679']
	913285 	28987 	['394']
	5657 	1542 	['344', '362']
	1018946 	63971 	['723']
	1261734 	61980 	['283']
	721161 	17179 	['602']
	879986 	24749 	['355', '173']
	700863 	17233 	['602']
	789092 	61982 	['808']
	867374 	25774 	['357']
	67887 	7549 	['376', '349']
	216540 	7215 	['737']
	819255 	22843 	['615', '507']
	869004 	23752 	['603']
	23738 	3419 	['492', '131']
	787520 	20118 	['208', '202']
	729365 	23276 	['679']
	857728 	20296 	['735']
	913061 	29266 	['484', '272']
	916540 	30651 	['738', '204']
	355431 	5977 	['179']
	59229 	6707 	['631', '641']
	1007456 	5074 	['737']
	86144 	9359 	['541']
	846815 	30644 	['227', '239', '222']
	731859 	1611 	['679', '799', '651']
	789670 	16843 	['602']
	895419 	27794 	['367']
	1073429 	120824 	['327']
	1026405 	65788 	['384']
	703361 	6003 	['367']
	703360 	6529 	['357']
	110536 	7781 	['873']
	73952 	14827 	['633', '635']
	96669 	10359 	['367', '381']
	908180 	28756 	['737']
	1081614 	120714 	['737']
	835011 	14891 	['204']
	1029443 	64526 	['204']
	77476 	8479 	['209', '203', '208']
	889057 	127384 	['283']
	1036615 	65224 	['679']
	874265 	24187 	['591', '805', '809']
	1085280 	122061 	['737']
	1032975 	102696 	['357']
	46080 	5518 	['394']
	46738 	12317 	['615']
	878748 	25000 	['596', '382', '283']
	716457 	109584 	['602']
	713975 	19420 	['602']
	100378 	10777 	['508']
	3642 	16630 	['633']
	716459 	16675 	['602']
	852807 	20021 	['799']
	741556 	10382 	['361']
	899426 	63374 	['283']
	741559 	1606 	['355', '367']
	773547 	4292 	['366']
	801351 	13990 	['234', '232', '565']
	854152 	21507 	['737']
	948640 	61246 	['365']
	723639 	1866 	['367']
	839950 	22946 	['131']
	919130 	65180 	['781', '737']
	817785 	21659 	['283']
	25191 	3555 	['616', '621', '641']
	104777 	11291 	['481', '737']
	9548 	2011 	['491']
	1062195 	113498 	['737']
	879169 	29127 	['737']
	1066107 	4242 	['492', '517', '131']
	1047884 	66654 	['679']
	1047881 	66360 	['265']
	352510 	15202 	['602']
	891098 	25860 	['602']
	801898 	13003 	['353']
	1086937 	124035 	['733']
	41052 	5133 	['267']
	1086939 	123017 	['874', '801', '504']
	70793 	7798 	['283']
	721371 	2751 	['512', '355', '384']
	914712 	29621 	['737']
	914713 	30072 	['679']
	879123 	24621 	['565']
	833140 	24449 	['384']
	1062292 	127094 	['737']
	840319 	23799 	['283']
	721083 	9772 	['507']
	1012704 	63077 	['552', '614']
	1043505 	66352 	['371']
	34285 	9048 	['362', '382', '873']
	938481 	31660 	['737']
	724267 	6308 	['366']
	1043509 	65831 	['551']
	789460 	12471 	['509', '517']
	1326160 	4093 	['491', '517', '131', '651']
	1052439 	66656 	['737']
	814457 	14883 	['308']
	717720 	11099 	['628']
	788920 	12458 	['504', '284', '384', '367']
	771790 	10044 	['331']
	1049108 	66061 	['751', '679']
	89902 	9673 	['581', '514']
	1026650 	64341 	['873', '737']
	1026655 	14794 	['308']
	34067 	4497 	['339', '372']
	1021061 	63870 	['635']
	1085706 	30640 	['602']
	70530 	7772 	['367']
	899723 	29001 	['281']
	868725 	23898 	['871', '285', '138', '651']
	813920 	15092 	['581']
	815556 	14225 	['525']
	887207 	25422 	['291', '554']
	1076016 	123994 	['737']
	318300 	17106 	['602']
	1016281 	63456 	['726', '655']
	1039446 	120314 	['738']
	872248 	25874 	['131']
	928753 	30688 	['737']
	1099305 	62472 	['602']
	79225 	8648 	['306', '308']
	946392 	66414 	['481']
	1060595 	122233 	['737']
	924140 	61397 	['565']
	921313 	64620 	['366']
	1285224 	64218 	['602']
	310979 	2007 	['602']
	89270 	9325 	['362', '361', '364']
	1378946 	16245 	['603']
	1071119 	118574 	['369']
	1041954 	65679 	['481']
	1020828 	64262 	['603']
	875355 	24204 	['511']
	1036262 	64915 	['382']
	1036260 	65062 	['591']
	908517 	61392 	['366']
	1015483 	63468 	['421']
	784770 	11907 	['367']
	776325 	26004 	['805', '833']
	1038315 	65023 	['736']
	873591 	24008 	['283']
	873044 	61439 	['357']
	873594 	23955 	['737']
	874213 	24069 	['401']
	874214 	21828 	['562']
	1018005 	64304 	['596']
	357261 	4800 	['491', '449', '478', '444']
	357264 	23553 	['602']
	1013554 	63467 	['603']
	802724 	29032 	['283']
	1013556 	63188 	['495']
	1013880 	63417 	['874', '738']
	915765 	29982 	['603']
	947116 	61247 	['737']
	1015739 	63454 	['737']
	1045014 	65911 	['394']
	311871 	8675 	['242', '261']
	1051859 	29996 	['603']
	1055160 	15101 	['679']
	1093242 	126495 	['737']
	1005969 	62688 	['384']
	732026 	10740 	['382', '504']
	1072546 	61691 	['384']
	927761 	31516 	['495']
	927760 	30777 	['571']
	1005210 	62501 	['598']
	1005967 	62377 	['357']
	744778 	16227 	['603']
	895726 	27908 	['308', '341']
	784199 	27823 	['809']
	1023298 	22882 	['781']
	901491 	28397 	['581', '204', '679']
	1023291 	10507 	['491', '492', '517']
	901495 	28501 	['581']
	827156 	16488 	['283', '504', '737', '384']
	906113 	29121 	['679']
	906114 	28602 	['371']
	891178 	25859 	['737']
	1067056 	115812 	['737']
	719483 	10237 	['283']
	63296 	30477 	['336']
	1039208 	66305 	['470']
	3453 	1254 	['655', '206', '442']
	895095 	27771 	['737']
	796735 	127316 	['731']
	350852 	19262 	['602']
	706688 	1076 	['735', '679', '251']
	1091530 	124442 	['483']
	768119 	25984 	['737']
	1067462 	114346 	['653']
	921030 	30121 	['252', '384']
	1071598 	125860 	['481']
	1003111 	61877 	['504', '737']
	1042598 	65245 	['359']
	1003114 	62215 	['807']
	1046685 	66476 	['603']
	818010 	14002 	['10']
	1017259 	63676 	['384']
	90168 	9698 	['346']
	1054905 	110566 	['281']
	1008586 	62666 	['737']
	1008588 	62633 	['737']
	910606 	29099 	['679', '653']
	907649 	28460 	['131', '138']
	1029199 	64536 	['609']
	58592 	6661 	['781']
	91419 	9777 	['203']
	91142 	9771 	['363', '362']
	67532 	7515 	['354']
	1020214 	64327 	['283']
	1080187 	120716 	['562']
	1016613 	121979 	['737']
	825410 	14169 	['873']
	825411 	14170 	['362']
	106535 	11456 	['152', '263', '242', '241']
	106532 	11455 	['513', '566']
	316770 	13075 	['602']
	37912 	4828 	['541']
	787648 	29899 	['602']
	1009988 	65284 	['809']
	1057746 	112775 	['594']
	879969 	24707 	['836']
	850519 	27903 	['357']
	774203 	11247 	['602']
	814547 	13824 	['737']
	814013 	13611 	['358']
	814549 	13480 	['737']
	789073 	1408 	['208', '343', '278', '394']
	23752 	3422 	['262']
	319240 	6110 	['382']
	28917 	3964 	['531']
	66004 	7368 	['494']
	882796 	29837 	['283']
	916529 	29762 	['369']
	109747 	19390 	['631']
	1024520 	64132 	['384']
	933452 	31591 	['357']
	933454 	63928 	['737']
	819050 	27920 	['283']
	59240 	6710 	['245']
	855352 	22681 	['283']
	846871 	15316 	['131']
	846876 	15347 	['355']
	741696 	27997 	['366']
	730708 	17184 	['602']
	922471 	30617 	['751']
	1039690 	65795 	['171']
	922475 	31224 	['822']
	831547 	63650 	['283']
	1051628 	109338 	['631']
	898624 	28696 	['602']
	1051627 	110760 	['367']
	1000297 	61664 	['482', '738']
	1025996 	64306 	['679']
	708821 	8334 	['357', '737', '384']
	1000298 	61586 	['679']
	55529 	6410 	['254']
	1037676 	14793 	['122']
	912607 	29170 	['399', '754', '737']
	912601 	29069 	['357']
	912603 	29217 	['509', '331']
	1002388 	61656 	['737', '873']
	912609 	29254 	['514']
	350077 	11509 	['399']
	276209 	3394 	['653', '651']
	3662 	1278 	['363', '239', '282']
	277158 	9841 	['492', '871', '162', '517']
	49071 	27914 	['632']
	313798 	1115 	['384', '737']
	100893 	10868 	['602']
	716438 	10648 	['553']
	829676 	3114 	['481', '489', '737']
	1001185 	61566 	['737', '738']
	1001186 	61601 	['283']
	1005512 	62659 	['603']
	312840 	4335 	['394']
	312842 	10296 	['131']
	796505 	12482 	['382']
	736012 	25302 	['737', '357']
	796502 	12518 	['362']
	93456 	10005 	['276']
	1018074 	112874 	['366']
	931947 	31474 	['381']
	931948 	31203 	['109']
	925178 	30559 	['784']
	97517 	10504 	['653']
	756972 	11238 	['504']
	52532 	5847 	['517', '458']
	894627 	27199 	['131']
	1048477 	122257 	['283']
	1109802 	30561 	['641']
	1058867 	110683 	['602']
	885566 	25276 	['599']
	1109808 	64397 	['357']
	101320 	10909 	['602']
	41296 	5152 	['233']
	1024732 	64165 	['737']
	1092458 	124638 	['737']
	1035201 	2628 	['494']
	879933 	6180 	['331']
	1048695 	121077 	['737']
	888245 	28332 	['799']
	275858 	8162 	['366', '367', '871']
	1009405 	62821 	['283']
	1009404 	10743 	['131']
	1009403 	62759 	['874']
	933583 	31745 	['735', '481', '738']
	809012 	109189 	['581']
	885307 	25406 	['503']
	949573 	11040 	['283']
	41077 	5134 	['243', '265', '262']
	48039 	5667 	['291', '461']
	860730 	22260 	['806']
	860731 	10789 	['737']
	24090 	16775 	['631']
	53669 	6268 	['382', '253']
	1135338 	63716 	['484']
	916863 	11555 	['491', '492', '517', '499']
	1035632 	119834 	['621']
	39677 	1906 	['153', '799', '655', '650']
	1042162 	66658 	['384']
	14803 	2437 	['131', '138']
	1128928 	4809 	['205']
	33769 	2282 	['201', '581']
	59527 	6737 	['354']
	1007800 	62559 	['367']
	906709 	30137 	['283']
	763744 	11796 	['344']
	892832 	27921 	['357']
	1029506 	29942 	['206', '204', '205', '203']
	1049129 	110725 	['874']
	1079028 	119216 	['382', '367']
	756365 	22823 	['737']
	29989 	4066 	['731']
	945093 	60901 	['737']
	40656 	65144 	['367']
	887227 	25433 	['384']
	887226 	25676 	['382']
	920000 	30237 	['357']
	711669 	66504 	['602']
	724533 	12070 	['679']
	1406407 	119993 	['517']
	28582 	3911 	['283', '229', '282']
	813902 	13600 	['384', '596']
	1046099 	65927 	['679']
	1141496 	61795 	['421']
	713138 	3776 	['357']
	867058 	29095 	['737']
	1037115 	64918 	['382']
	1011582 	62913 	['283']
	896397 	27930 	['245', '521', '344', '614']
	811211 	21423 	['602']
	811212 	13794 	['382']
	28630 	3918 	['382', '357', '381']
	907077 	28979 	['679']
	907072 	28942 	['871', '382']
	1046327 	65899 	['737']
	76267 	8348 	['367', '289']
	924168 	30614 	['364']
	1027108 	120845 	['737']
	217591 	11641 	['735']
	43350 	12994 	['492', '517', '655']
	1078577 	120154 	['737']
	87864 	9504 	['204', '679']
	1084329 	121755 	['738']
	702301 	64633 	['679']
