	cik	gvkey	sic_list
	863110 	17341 	['494']
	1024339 	64173 	['737']
	23071 	3333 	['367']
	864839 	28791 	['131']
	785557 	12304 	['736']
	914536 	29647 	['736']
	914537 	62710 	['581']
	1009802 	63106 	['367']
	1028965 	64538 	['335']
	1052303 	113425 	['366']
	701288 	1234 	['384']
	945384 	61068 	['737']
	945382 	61428 	['358']
	1060009 	17239 	['805', '806', '809']
	1010744 	62915 	['531']
	729284 	7179 	['314', '357', '504']
	1042799 	66413 	['737']
	745981 	28152 	['602']
	740670 	7316 	['594']
	1036044 	65552 	['357']
	89498 	9643 	['571']
	816247 	13590 	['821']
	1421100 	64509 	['233']
	886046 	25355 	['384']
	924896 	30497 	['581']
	723878 	18769 	['602']
	1011290 	62922 	['533', '519']
	1011292 	25721 	['598']
	1399315 	7067 	['602']
	74931 	8186 	['633', '630', '635']
	928423 	61322 	['794']
	916502 	64772 	['382']
	65201 	7281 	['356']
	714655 	2226 	['283']
	863015 	25314 	['799']
	350797 	4201 	['628']
	1041665 	25823 	['633', '630']
	934448 	62016 	['731']
	923603 	30495 	['679']
	1004524 	62474 	['603']
	1004526 	61868 	['560']
	943206 	31880 	['824']
	2186 	1117 	['366']
	796486 	12484 	['484', '481']
	1027258 	64301 	['602']
	1020579 	65242 	['737']
	104030 	11249 	['738', '736']
	894010 	102617 	['504']
	897067 	63600 	['355']
	19584 	2960 	['808', '171', '769']
	1059760 	61701 	['701']
	1059763 	112473 	['394']
	880059 	63907 	['822']
	1036442 	65672 	['769']
	704415 	24396 	['806']
	1020616 	63741 	['738']
	722080 	4205 	['104']
	74208 	10894 	['679']
	911167 	31455 	['367']
	1013595 	63111 	['505']
	947156 	64799 	['131']
	42316 	5218 	['162', '147']
	1070985 	65084 	['679']
	320174 	1951 	['384']
	352495 	10422 	['357']
	874038 	24037 	['808']
	911801 	106228 	['265']
	45635 	9308 	['366']
	350894 	9317 	['737', '628']
	764843 	13831 	['357']
	352949 	4769 	['514', '541']
	802851 	14938 	['367']
	1013044 	63523 	['602']
	1273931 	5342 	['738', '581', '609', '472']
	352947 	4371 	['281', '509']
	937941 	31674 	['596', '599']
	772572 	13630 	['372', '354', '382']
	16918 	2710 	['208']
	809428 	22974 	['517', '131']
	778808 	1642 	['356']
	42179 	6206 	['531']
	97472 	10498 	['327', '331']
	12208 	2220 	['382']
	97476 	10499 	['367', '362', '357']
	1466258 	5959 	['353', '356', '342']
	911115 	28958 	['332']
	9779 	2033 	['345', '508', '349']
	57139 	6534 	['381']
	774937 	63026 	['357']
	1049711 	66616 	['283']
	1021561 	64028 	['512']
	8868 	1920 	['284']
	716688 	7350 	['367', '356']
	1022368 	64708 	['283']
	728258 	10899 	['203']
	920985 	30248 	['641']
	786557 	12397 	['283']
	71985 	7897 	['591']
	96988 	10417 	['738']
	310876 	12307 	['871']
	919722 	62382 	['283']
	919721 	30797 	['131']
	945446 	60955 	['737']
	822818 	14027 	['495']
	945441 	61048 	['382']
	804269 	17197 	['615']
	1007992 	62550 	['737']
	851397 	61443 	['355']
	932698 	64612 	['596']
	1042801 	66096 	['603']
	907687 	28678 	['367']
	1019272 	63698 	['999']
	1046131 	66438 	['679', '753']
	1027884 	64549 	['179']
	1016657 	63974 	['737']
	1027881 	65870 	['203', '209']
	1023731 	65021 	['367']
	934852 	31537 	['596']
	1161396 	66519 	['367']
	50863 	6008 	['367', '737']
	1000787 	61550 	['737']
	1018963 	10405 	['381', '363', '331', '354']
	1044942 	66435 	['806']
	758604 	2508 	['251']
	882287 	24931 	['805']
	102710 	11091 	['598', '492']
	931074 	31522 	['603']
	792013 	16955 	['633']
	831529 	63481 	['737']
	755003 	7107 	['347']
	23249 	3375 	['225']
	1015293 	63607 	['131']
	1015298 	63832 	['329']
	319201 	6304 	['382']
	1012956 	63728 	['641']
	82409 	61987 	['653', '615', '154']
	1064015 	17982 	['615']
	73609 	8067 	['615', '245']
	1037540 	64925 	['679']
	74058 	8109 	['359']
	915916 	29643 	['283']
	915913 	29751 	['289', '281']
	915912 	29875 	['679']
	1060749 	112366 	['621']
	1010552 	62730 	['366']
	55785 	6435 	['262', '221', '267']
	946140 	61084 	['131']
	946144 	61027 	['357']
	1060744 	111627 	['679']
	898660 	28317 	['799']
	1135971 	8694 	['491', '617']
	768162 	12051 	['358']
	92769 	9937 	['367']
	859737 	20904 	['384']
	740112 	3373 	['609']
	845877 	15153 	['611']
	68145 	7575 	['581']
	1021810 	31888 	['737', '735']
	912643 	64507 	['357']
	43837 	5334 	['594']
	880285 	24810 	['461']
	810509 	25924 	['283']
	899042 	30034 	['357']
	1001493 	61565 	['632']
	878720 	24545 	['560']
	878230 	24691 	['807']
	1049521 	66393 	['737']
	878725 	24662 	['384']
	824719 	113832 	['602']
	1014653 	64688 	['738']
	801337 	17150 	['603']
	720002 	23111 	['602']
	720005 	8898 	['621', '628']
	801338 	12697 	['873', '272']
	837759 	15306 	['131']
	723612 	3278 	['679', '729', '641', '653', '751', '616', '738']
	1053148 	106900 	['737']
	801622 	13025 	['733']
	923473 	61095 	['245']
	21267 	3130 	['492', '131', '499', '650', '122']
	350426 	8627 	['131']
	101984 	27828 	['365']
	1164727 	7881 	['104']
	799698 	13184 	['283', '736', '204']
	18568 	2849 	['602']
	14846 	1949 	['679']
	799166 	16924 	['603']
	799167 	12625 	['421']
	799165 	13174 	['138']
	890923 	25918 	['362', '282']
	890924 	25786 	['357']
	890926 	25895 	['635']
	102752 	11065 	['871', '737']
	785161 	12589 	['806', '809']
	820242 	14111 	['394']
	875045 	24468 	['283']
	106926 	11482 	['602']
	1141185 	6403 	['281']
	805054 	14145 	['737', '824', '617']
	800575 	13028 	['308', '363']
	949536 	61441 	['483']
	914735 	30355 	['679']
	1140859 	31673 	['512']
	932697 	60943 	['603']
	932696 	31453 	['596']
	918646 	30032 	['324', '327', '329']
	918647 	29918 	['355']
	718449 	10266 	['501']
	918642 	29904 	['308']
	9389 	1988 	['341', '381']
	916822 	31663 	['603']
	768835 	12123 	['533', '594']
	849240 	66050 	['349', '362']
	727008 	4162 	['384']
	946489 	61482 	['801']
	1007330 	62494 	['872']
	808013 	13760 	['286', '308']
	860518 	25540 	['738']
	860519 	21374 	['602']
	743029 	12467 	['308']
	26990 	12730 	['737']
	26999 	3760 	['357']
	1036992 	64888 	['596']
	37643 	4801 	['491', '494', '492', '598']
	705408 	9398 	['581']
	893160 	63385 	['283']
	893162 	29085 	['382']
	1047188 	113533 	['283']
	1061322 	113491 	['481']
	1042561 	65578 	['283']
	47254 	10724 	['357', '737']
	23019 	3365 	['736', '737']
	744962 	12828 	['283']
	88296 	9567 	['541']
	1059969 	12854 	['794']
	24741 	3532 	['326', '335', '322']
	1038363 	65074 	['505', '344']
	108312 	11580 	['362']
	110985 	3574 	['783', '874']
	726513 	10726 	['271', '483', '273']
	726512 	2616 	['512']
	726514 	4274 	['369']
	726517 	16929 	['602']
	792977 	12250 	['283']
	1060024 	112088 	['209', '203']
	916485 	30732 	['736']
	869495 	29675 	['345']
	217084 	11531 	['363']
	921623 	63130 	['616']
	19745 	2986 	['492', '517', '737', '651']
	56868 	6311 	['131']
	94344 	10086 	['636']
	1036283 	64859 	['507']
	1050122 	66425 	['596']
	1011418 	65880 	['737']
	900741 	28904 	['603']
	945734 	66673 	['603']
	51143 	6066 	['357', '737', '615']
	873064 	61731 	['873']
	908246 	61769 	['131']
	1038339 	65048 	['679']
	1033012 	64699 	['603']
	921503 	30219 	['399']
	874238 	5559 	['501']
	1000753 	64302 	['736']
	909111 	28900 	['679']
	64578 	7208 	['384']
	766421 	1230 	['451']
	1045035 	65586 	['357']
	795665 	12434 	['509']
	85462 	24382 	['363']
	820526 	14383 	['371']
	1039889 	116503 	['581']
	855612 	16531 	['999']
	873603 	24029 	['369']
	105189 	11328 	['153']
	873601 	23953 	['820']
	929900 	60906 	['384']
	944480 	61077 	['737']
	805330 	12883 	['737']
	836616 	31458 	['602']
	357301 	17245 	['602']
	745469 	11797 	['354']
	1056874 	61534 	['364', '384', '342', '363']
	745394 	6678 	['287']
	1109304 	1762 	['308', '329', '242']
	1058438 	115121 	['603']
	833081 	14908 	['138']
	1021549 	64075 	['516']
	760498 	28022 	['602']
	854093 	29459 	['384']
	854094 	16420 	['271']
	854098 	16837 	['602']
	854099 	17232 	['384']
	810332 	13241 	['451']
	24104 	3465 	['651', '358', '327']
	719187 	6896 	['131']
	1023767 	64272 	['999']
	875983 	29763 	['366']
	1067489 	116831 	['602']
	789863 	12047 	['614', '527', '245']
	312037 	14647 	['131']
	1008654 	62897 	['308']
	1003130 	61900 	['809']
	356309 	7849 	['492', '651', '517']
	868512 	30152 	['271']
	818033 	13786 	['282']
	798955 	62590 	['571']
	860673 	4024 	['494']
	944739 	60846 	['367']
	793961 	12365 	['737']
	1042821 	65491 	['737']
	1022381 	64557 	['356']
	353482 	11183 	['283']
	1042824 	65629 	['679']
	1042825 	65554 	['367']
	65770 	63531 	['873']
	928358 	116144 	['603']
	1046112 	65923 	['394']
	729986 	17248 	['602']
	1012394 	63100 	['384']
	1012393 	63102 	['501']
	84581 	65655 	['328', '599']
	913283 	64782 	['679']
	913280 	29672 	['679']
	913285 	28987 	['394']
	5657 	1542 	['362']
	1018946 	63971 	['723']
	1261734 	61980 	['283']
	721161 	17179 	['602']
	879986 	24749 	['355']
	59198 	6701 	['349']
	700863 	17233 	['602']
	789092 	61982 	['808']
	867374 	25774 	['357']
	67887 	7549 	['359']
	216540 	7215 	['737']
	819255 	22843 	['504', '615']
	869004 	23752 	['603']
	23738 	3419 	['492', '131', '517']
	787520 	20118 	['208', '202', '275']
	729365 	23276 	['679']
	857728 	20296 	['384', '735']
	913061 	29266 	['484', '737']
	916540 	30651 	['738', '204']
	355431 	5977 	['179']
	59229 	6707 	['483', '631', '641']
	1007456 	5074 	['737']
	86144 	9359 	['541']
	846815 	30644 	['227', '239', '222']
	95395 	10163 	['372', '356']
	731859 	1611 	['615', '251', '651']
	789670 	16843 	['602']
	895419 	27794 	['367']
	895417 	27875 	['679']
	1010026 	64984 	['367']
	1026405 	65788 	['384']
	703361 	6003 	['367']
	703360 	6529 	['367']
	110536 	7781 	['873', '736', '871']
	73952 	14827 	['630', '633', '635']
	96669 	10359 	['367', '381']
	908180 	28756 	['737']
	835011 	14891 	['204']
	1022147 	64320 	['737']
	835015 	14881 	['11']
	77476 	8479 	['208', '209', '203']
	785815 	11976 	['206']
	1036615 	65224 	['679']
	874265 	24187 	['591']
	1032975 	102696 	['357']
	46080 	5518 	['394']
	1031911 	66713 	['367']
	46738 	12317 	['615']
	908985 	28766 	['367']
	878748 	25000 	['596']
	716457 	109584 	['602']
	713975 	19420 	['602']
	100378 	10777 	['356']
	3642 	16630 	['633']
	716459 	16675 	['602']
	852807 	20021 	['799']
	741556 	10382 	['361']
	899426 	63374 	['283']
	741559 	1606 	['355', '367']
	773547 	4292 	['366']
	801351 	13990 	['234', '232', '565']
	854152 	21507 	['737']
	948640 	61246 	['365']
	723639 	1866 	['367']
	839950 	22946 	['131']
	724910 	21743 	['737']
	817785 	21659 	['283']
	773326 	13183 	['131', '291']
	25191 	3555 	['616', '621']
	104777 	11291 	['481']
	9548 	2011 	['491']
	1028215 	64848 	['286']
	14827 	2439 	['495']
	936734 	31722 	['357']
	1062195 	113498 	['737']
	20104 	3016 	['422']
	879169 	29127 	['737']
	817473 	65345 	['628']
	1047884 	66654 	['679']
	1047881 	66360 	['513']
	352510 	15202 	['602']
	352511 	22231 	['131']
	891098 	25860 	['602']
	801898 	13003 	['353']
	915779 	29705 	['399']
	41052 	5133 	['267']
	70793 	7798 	['283']
	721371 	2751 	['512']
	914712 	29621 	['733', '737']
	914713 	30072 	['679']
	879123 	24621 	['565']
	833140 	24449 	['384']
	1042809 	65569 	['594']
	18508 	14825 	['633']
	840319 	23799 	['283']
	721083 	9772 	['289']
	1012704 	63077 	['552', '614', '615']
	1043505 	66352 	['371']
	34285 	9048 	['362', '382', '873']
	938481 	31660 	['737']
	76791 	8233 	['722']
	724267 	6308 	['366']
	1043509 	65831 	['551']
	789460 	12471 	['509', '517']
	1326160 	4093 	['491', '517', '131', '871', '651']
	1052439 	66656 	['737']
	814457 	14883 	['308']
	717720 	11099 	['628']
	788920 	12458 	['504', '284', '384', '367']
	771790 	10044 	['331']
	1049108 	66061 	['751', '679']
	89902 	9673 	['581']
	1026650 	64341 	['737', '873']
	1026655 	14794 	['308']
	34067 	4497 	['339']
	811640 	13286 	['737']
	1021061 	63870 	['635']
	1085706 	30640 	['602']
	70530 	7772 	['367']
	899723 	29001 	['281']
	868725 	23898 	['285']
	813920 	15092 	['581']
	815556 	14225 	['525']
	815555 	17066 	['737', '633']
	887207 	25422 	['291', '554']
	318300 	17106 	['602']
	1016281 	63456 	['726', '655']
	706116 	17314 	['602']
	1025834 	64178 	['212']
	872248 	25874 	['131']
	928753 	30688 	['737']
	79225 	8648 	['306']
	1046304 	65936 	['874']
	946392 	66414 	['481']
	842815 	15487 	['138', '441']
	924146 	61595 	['275', '733', '289']
	924140 	61397 	['565']
	921313 	64620 	['366']
	310979 	2007 	['602']
	89270 	9325 	['362']
	1378946 	16245 	['603']
	914027 	29436 	['357']
	914025 	8633 	['366']
	875357 	24447 	['602']
	1020828 	64262 	['603']
	875355 	24204 	['511']
	1036262 	64915 	['382']
	1036261 	65766 	['366']
	1036260 	65062 	['591']
	908517 	61392 	['366']
	1015483 	63468 	['421']
	855585 	25656 	['737']
	784770 	11907 	['367']
	776325 	26004 	['805', '833', '832']
	1038315 	65023 	['736']
	873591 	24008 	['283']
	873044 	61439 	['357']
	873594 	23955 	['737']
	874213 	24069 	['401']
	874214 	21828 	['562']
	942899 	61098 	['603']
	357262 	22282 	['602']
	357261 	4800 	['489', '449', '478', '444']
	357264 	23553 	['602']
	1013554 	63467 	['603']
	802724 	29032 	['283']
	1013556 	63188 	['495']
	1013880 	63417 	['874', '738']
	915765 	29982 	['603']
	947116 	61247 	['737']
	1015739 	63454 	['737']
	1045014 	65911 	['394']
	311871 	8675 	['261']
	1051859 	29996 	['603']
	1055160 	15101 	['679']
	1005969 	62688 	['384']
	732026 	10740 	['873', '382', '504']
	1072546 	61691 	['384']
	927761 	31516 	['495']
	927760 	30777 	['571']
	1005210 	62501 	['598']
	1002531 	61725 	['382']
	1002532 	61918 	['481', '366']
	744778 	16227 	['603']
	895726 	27908 	['341', '308']
	784199 	27823 	['809']
	1023298 	22882 	['781']
	901491 	28397 	['581', '204', '679']
	1023291 	10507 	['491', '517', '481']
	901495 	28501 	['581']
	827156 	16488 	['283', '504']
	906113 	29121 	['679']
	906114 	28602 	['374', '371']
	891178 	25859 	['737']
	1067056 	115812 	['737']
	719483 	10237 	['283']
	63296 	30477 	['279', '355']
	1039208 	66305 	['470']
	3453 	1254 	['655', '206', '442', '440']
	895095 	27771 	['737']
	719612 	7345 	['737']
	350852 	19262 	['602']
	706688 	1076 	['735', '679', '251']
	768119 	25984 	['737']
	1067462 	114346 	['653']
	921030 	30121 	['252']
	1003111 	61877 	['504', '737']
	920231 	30102 	['482']
	1003113 	61706 	['382']
	1003114 	62215 	['807']
	1046685 	66476 	['603']
	818010 	14002 	['17']
	5227 	16647 	['633']
	818017 	13670 	['508']
	1017259 	63676 	['384']
	798935 	12661 	['554']
	1054905 	110566 	['281']
	1008586 	62666 	['737']
	1008588 	62633 	['737']
	910606 	29099 	['679', '653']
	907649 	28460 	['131', '138']
	1029199 	64536 	['609', '737']
	58592 	6661 	['679']
	91419 	9777 	['203']
	91142 	9771 	['363', '362', '344']
	67532 	7515 	['354', '355']
	1020214 	64327 	['283']
	78536 	12277 	['738']
	825410 	14169 	['873']
	825411 	14170 	['362']
	106535 	11456 	['153', '263', '449', '242', '241']
	106532 	11455 	['513', '566']
	316770 	13075 	['602']
	37912 	4828 	['541']
	787648 	29899 	['602']
	1009988 	65284 	['809']
	879969 	24707 	['836']
	850519 	27903 	['357']
	774203 	11247 	['602']
	814547 	13824 	['738']
	814013 	13611 	['358']
	814549 	13480 	['737']
	789073 	1408 	['208', '343', '278', '394']
	23752 	3422 	['262']
	319240 	6110 	['382']
	28917 	3964 	['531']
	66004 	7368 	['494']
	882796 	29837 	['283']
	916529 	29762 	['369']
	109747 	19390 	['631']
	1024520 	64132 	['384']
	933452 	31591 	['357']
	933454 	63928 	['737']
	778201 	13115 	['131']
	819050 	27920 	['283']
	59240 	6710 	['245']
	855352 	22681 	['283']
	846871 	15316 	['131']
	846876 	15347 	['355']
	1019034 	64645 	['382']
	741696 	27997 	['366']
	730708 	17184 	['602']
	922471 	30617 	['751', '552']
	1039690 	65795 	['171']
	922475 	31224 	['822']
	831547 	63650 	['283']
	873458 	24313 	['616', '615']
	1051628 	109338 	['631']
	898624 	28696 	['602']
	1051627 	110760 	['367']
	1000297 	61664 	['799']
	1025996 	64306 	['679']
	829269 	24884 	['220']
	708821 	8334 	['357', '737', '384']
	708823 	2846 	['283']
	734394 	2308 	['737']
	1000298 	61586 	['679']
	55529 	6410 	['382']
	1037676 	14793 	['122']
	912607 	29170 	['399']
	912601 	29069 	['357']
	912603 	29217 	['331']
	1005868 	62433 	['382']
	912609 	29254 	['514']
	350077 	11509 	['399']
	276209 	3394 	['494']
	354761 	3461 	['808', '805']
	3662 	1278 	['363', '506']
	277158 	9841 	['492', '871', '162', '491', '517']
	49071 	27914 	['632']
	313798 	1115 	['384', '737']
	100893 	10868 	['602']
	1014343 	63740 	['267']
	716438 	10648 	['553']
	829676 	3114 	['481', '489']
	1001185 	61566 	['737']
	1001186 	61601 	['283']
	1005512 	62659 	['603']
	874689 	24190 	['367']
	312840 	4335 	['394']
	312842 	10296 	['131']
	796505 	12482 	['382']
	736012 	25302 	['357']
	796502 	12518 	['362']
	93456 	10005 	['276', '275']
	925172 	30611 	['394']
	931947 	31474 	['381']
	931948 	31203 	['109']
	925178 	30559 	['784']
	97517 	10504 	['653']
	756972 	11238 	['504']
	38851 	10551 	['201']
	894627 	27199 	['131']
	1109802 	30561 	['632', '641']
	1058867 	110683 	['602']
	885566 	25276 	['599']
	1109808 	64397 	['357']
	101320 	10909 	['602']
	41296 	5152 	['679']
	1024732 	64165 	['737', '736']
	1035201 	2628 	['494']
	1501919 	31720 	['737']
	888245 	28332 	['799']
	275858 	8162 	['366', '367', '871']
	1009405 	62821 	['283']
	1009404 	10743 	['131']
	1009403 	62759 	['874']
	933583 	31745 	['735', '481', '738']
	885307 	25406 	['503']
	797543 	12674 	['242']
	949573 	11040 	['283']
	41077 	5134 	['243', '265', '262', '260']
	48039 	5667 	['291']
	84567 	9195 	['481', '506']
	860730 	22260 	['806']
	860731 	10789 	['737']
	805012 	13062 	['499']
	24090 	16775 	['631']
	53669 	6268 	['382', '253']
	722567 	12834 	['807']
	916863 	11555 	['491', '492', '517', '499']
	39677 	1906 	['153', '799', '655', '494', '650']
	1042162 	66658 	['384']
	14803 	2437 	['131', '138']
	1128928 	4809 	['205']
	33769 	2282 	['201', '581']
	59527 	6737 	['354']
	1007800 	62559 	['367']
	906709 	30137 	['283']
	763744 	11796 	['344']
	892832 	27921 	['357']
	1029506 	29942 	['204', '206']
	756365 	22823 	['737']
	29989 	4066 	['731']
	945093 	60901 	['737']
	1002225 	61557 	['737']
	40656 	65144 	['367']
	887227 	25433 	['384']
	887226 	25676 	['382']
	1006605 	62492 	['794']
	920000 	30237 	['357']
	711669 	66504 	['602']
	724533 	12070 	['679']
	28582 	3911 	['283', '229', '282']
	813902 	13600 	['384', '596']
	1046099 	65927 	['679']
	1141496 	61795 	['421']
	713138 	3776 	['357']
	867058 	29095 	['737']
	1037115 	64918 	['382']
	1011582 	62913 	['283']
