	cik	gvkey	year	sic_list
	1222497 	6963 	1999 	['491']
	1222497 	6963 	1998 	['491']
	791905 	12214 	1998 	['344']
	791907 	12216 	1999 	['367']
	791907 	12216 	1998 	['367']
	791908 	12252 	1999 	['283']
	791908 	12252 	1998 	['283']
	1001838 	61811 	1999 	['102']
	1001838 	61811 	1998 	['102']
	21438 	3156 	1999 	['366']
	21438 	3156 	1998 	['366']
	833076 	14863 	1999 	['364']
	833076 	14863 	1998 	['364']
	84278 	9170 	1999 	['331']
	84278 	9170 	1998 	['331']
	1067419 	7447 	1999 	['679']
	1067419 	7447 	1998 	['651']
	762128 	28185 	1999 	['602']
	762128 	28185 	1998 	['602']
	70487 	65587 	1999 	['738']
	18926 	2884 	1999 	['481']
	18926 	2884 	1998 	['481']
	805268 	12898 	1999 	['365']
	805268 	12898 	1998 	['365']
	726601 	20109 	1999 	['602']
	811419 	13922 	1999 	['140']
	811419 	13922 	1998 	['140']
	946840 	64004 	1999 	['283']
	946840 	64004 	1998 	['283']
	89615 	9650 	1999 	['367']
	89615 	9650 	1998 	['367']
	788951 	11942 	1999 	['507']
	788951 	11942 	1998 	['507']
	914208 	29804 	1999 	['628']
	914208 	29804 	1998 	['628']
	922204 	30540 	1999 	['366']
	922204 	30540 	1998 	['366']
	768162 	12051 	1999 	['358']
	768162 	12051 	1998 	['358']
	1003477 	61923 	1998 	['355']
	930277 	31501 	1999 	['603']
	930277 	31501 	1998 	['603']
	1017480 	63763 	1999 	['594']
	948845 	61339 	1999 	['451']
	948845 	61339 	1998 	['451']
	948844 	61376 	1999 	['371']
	948844 	61376 	1998 	['371']
	94784 	5336 	1999 	['283']
	94784 	5336 	1998 	['283']
	913949 	29381 	1999 	['737']
	913949 	29381 	1998 	['737']
	789570 	14418 	1999 	['799']
	789570 	14418 	1998 	['799']
	704159 	21499 	1999 	['621']
	704159 	21499 	1998 	['621']
	1037975 	65681 	1999 	['512']
	751978 	21238 	1999 	['367']
	751978 	21238 	1998 	['367']
	1043277 	65609 	1999 	['473']
	849448 	24982 	1999 	['384']
	849448 	24982 	1998 	['384']
	1017008 	63669 	1998 	['483']
	929299 	30843 	1999 	['308']
	929299 	30843 	1998 	['308']
	1750 	1004 	1998 	['508']
	1000577 	61571 	1999 	['421']
	1000577 	61571 	1998 	['421']
	946486 	61140 	1999 	['283']
	946486 	61140 	1998 	['283']
	319019 	12044 	1998 	['131']
	23055 	3277 	1999 	['737']
	23055 	3277 	1998 	['737']
	887730 	25848 	1999 	['367']
	887730 	25848 	1998 	['367']
	815065 	25313 	1999 	['384']
	815065 	25313 	1998 	['384']
	750556 	10187 	1999 	['602']
	750556 	10187 	1998 	['602']
	946581 	64630 	1999 	['737']
	705408 	9398 	1998 	['581']
	1009829 	62745 	1999 	['394']
	1009829 	62745 	1998 	['394']
	1043012 	65979 	1999 	['240']
	27613 	3833 	1999 	['239']
	27613 	3833 	1998 	['239']
	801873 	8465 	1999 	['308']
	801873 	8465 	1998 	['308']
	744962 	12828 	1999 	['283']
	744962 	12828 	1998 	['283']
	28365 	3892 	1998 	['366']
	106926 	11482 	1999 	['602']
	106926 	11482 	1998 	['602']
	802681 	16698 	1999 	['602']
	802681 	16698 	1998 	['602']
	1021860 	63892 	1999 	['353']
	883107 	65937 	1999 	['329']
	67215 	4115 	1999 	['162']
	67215 	4115 	1998 	['162']
	31235 	4194 	1999 	['386']
	31235 	4194 	1998 	['386']
	1023844 	13649 	1999 	['621']
	1023844 	13649 	1998 	['621']
	882235 	25062 	1999 	['809']
	882235 	25062 	1998 	['809']
	908255 	28742 	1999 	['371']
	908255 	28742 	1998 	['371']
	912145 	29143 	1999 	['799']
	912145 	29143 	1998 	['799']
	915781 	31737 	1999 	['633']
	915781 	31737 	1998 	['633']
	350199 	2595 	1999 	['562']
	350199 	2595 	1998 	['562']
	1000227 	62065 	1999 	['356']
	1000227 	62065 	1998 	['356']
	883948 	19713 	1999 	['602']
	883948 	19713 	1998 	['602']
	720671 	5432 	1999 	['737']
	720671 	5432 	1998 	['737']
	354869 	4678 	1999 	['602']
	354869 	4678 	1998 	['602']
	1029023 	64626 	1999 	['873']
	883943 	25108 	1999 	['562']
	883943 	25108 	1998 	['562']
	812491 	13378 	1999 	['366']
	812491 	13378 	1998 	['366']
	77371 	16992 	1999 	['603']
	77371 	16992 	1998 	['603']
	812146 	16605 	1999 	['603']
	812146 	16605 	1998 	['603']
	883945 	25069 	1999 	['421']
	883945 	25069 	1998 	['421']
	747435 	1109 	1999 	['394']
	747435 	1109 	1998 	['394']
	1012697 	24495 	1999 	['807']
	707549 	6565 	1999 	['355']
	707549 	6565 	1998 	['355']
	930795 	30989 	1999 	['375']
	930795 	30989 	1998 	['375']
	87777 	9483 	1999 	['366']
	87777 	9483 	1998 	['366']
	859014 	26011 	1999 	['737']
	859014 	26011 	1998 	['737']
	34151 	4523 	1999 	['594']
	34151 	4523 	1998 	['594']
	934448 	62016 	1999 	['731']
	934448 	62016 	1998 	['731']
	1018840 	63643 	1999 	['565']
	730464 	3905 	1999 	['820']
	730464 	3905 	1998 	['822']
	919805 	25094 	1999 	['603']
	919805 	25094 	1998 	['603']
	838875 	30666 	1999 	['208']
	838875 	30666 	1998 	['208']
	730469 	1034 	1999 	['283']
	730469 	1034 	1998 	['283']
	47035 	5594 	1999 	['381']
	47035 	5594 	1998 	['381']
	949874 	65771 	1999 	['384']
	737207 	7694 	1999 	['283']
	737207 	7694 	1998 	['283']
	949872 	61410 	1999 	['367']
	949872 	61410 	1998 	['367']
	69968 	17065 	1998 	['602']
	889609 	25852 	1999 	['615']
	889609 	25852 	1998 	['615']
	1000229 	61759 	1999 	['138']
	1000229 	61759 	1998 	['138']
	859307 	21218 	1999 	['508']
	822665 	14457 	1999 	['364']
	822665 	14457 	1998 	['364']
	822662 	30888 	1999 	['602']
	822662 	30888 	1998 	['602']
	822663 	14309 	1999 	['284']
	822663 	14309 	1998 	['284']
	803016 	13289 	1999 	['737']
	803016 	13289 	1998 	['737']
	1018354 	64209 	1999 	['808']
	1018354 	64209 	1998 	['808']
	77281 	8457 	1999 	['679']
	77281 	8457 	1998 	['679']
	875622 	24710 	1999 	['283']
	875622 	24710 	1998 	['283']
	92081 	9880 	1999 	['602']
	92081 	9880 	1998 	['602']
	733269 	2536 	1999 	['737']
	733269 	2536 	1998 	['737']
	107874 	11558 	1999 	['131']
	107874 	11558 	1998 	['131']
	797721 	64088 	1999 	['366']
	1003130 	61900 	1999 	['809']
	1003130 	61900 	1998 	['809']
	937971 	31661 	1998 	['367']
	912219 	29423 	1999 	['603']
	912219 	29423 	1998 	['603']
	900075 	29901 	1999 	['552']
	900075 	29901 	1998 	['550']
	1014041 	63291 	1999 	['721']
	1014041 	63291 	1998 	['720']
	859163 	1072 	1999 	['367']
	859163 	1072 	1998 	['367']
	77597 	9921 	1999 	['308']
	77597 	9921 	1998 	['308']
	354647 	20019 	1999 	['602']
	354647 	20019 	1998 	['602']
	782842 	11819 	1999 	['621']
	782842 	11819 	1998 	['621']
	54991 	6370 	1999 	['382']
	54991 	6370 	1998 	['382']
	897429 	27981 	1999 	['562']
	896400 	62107 	1999 	['799']
	896400 	62107 	1998 	['799']
	855433 	16563 	1998 	['483']
	98677 	10609 	1999 	['206']
	98677 	10609 	1998 	['206']
	908440 	28744 	1999 	['737']
	908440 	28744 	1998 	['737']
	100716 	10832 	1999 	['633']
	100716 	10832 	1998 	['641']
	1105705 	25056 	1998 	['737']
	802301 	12679 	1999 	['357']
	802301 	12679 	1998 	['357']
	1013243 	63604 	1999 	['873']
	1013243 	63604 	1998 	['873']
	1018003 	63919 	1999 	['504']
	1018003 	63919 	1998 	['504']
	924370 	30756 	1999 	['603']
	924370 	30756 	1998 	['603']
	909793 	28881 	1999 	['737']
	909793 	28881 	1998 	['737']
	909791 	28938 	1999 	['355']
	909791 	28938 	1998 	['355']
	744778 	16227 	1999 	['603']
	744778 	16227 	1998 	['603']
	75448 	14250 	1999 	['357']
	715072 	25173 	1999 	['602']
	715072 	25173 	1998 	['602']
	715073 	14252 	1999 	['366']
	715073 	14252 	1998 	['366']
	842295 	15027 	1999 	['281']
	842295 	15027 	1998 	['281']
	895812 	29345 	1999 	['357']
	895812 	29345 	1998 	['357']
	1013488 	63739 	1999 	['581']
	1013488 	63739 	1998 	['581']
	889899 	25475 	1999 	['381']
	889899 	25475 	1998 	['381']
	880804 	62317 	1999 	['489']
	880804 	62317 	1998 	['489']
	744485 	24278 	1999 	['602']
	744485 	24278 	1998 	['602']
	821361 	14337 	1998 	['162']
	819521 	24716 	1998 	['621']
	773136 	12077 	1999 	['806']
	773136 	12077 	1998 	['806']
	1402747 	63967 	1998 	['737']
	1001113 	61498 	1999 	['737']
	1001113 	61498 	1998 	['737']
	873594 	23955 	1999 	['737']
	873594 	23955 	1998 	['737']
	63908 	7154 	1999 	['581']
	63908 	7154 	1998 	['581']
	1058033 	7672 	1999 	['451']
	1058033 	7672 	1998 	['451']
	878280 	24537 	1999 	['363']
	878280 	24537 	1998 	['363']
	1002132 	62439 	1999 	['504']
	1002132 	62439 	1998 	['504']
	854071 	17105 	1999 	['603']
	854071 	17105 	1998 	['603']
	799268 	13873 	1999 	['356']
	799268 	13873 	1998 	['356']
	790359 	19094 	1999 	['602']
	790359 	19094 	1998 	['602']
	922810 	30350 	1999 	['596']
	922810 	30350 	1998 	['596']
	760436 	12263 	1999 	['737']
	760436 	12263 	1998 	['737']
	741696 	27997 	1999 	['366']
	741696 	27997 	1998 	['366']
	916604 	29988 	1998 	['603']
	716643 	9023 	1999 	['723']
	716643 	9023 	1998 	['723']
	926019 	62925 	1998 	['737']
	719164 	4645 	1999 	['279']
	719164 	4645 	1998 	['279']
	919015 	29939 	1999 	['289']
	919015 	29939 	1998 	['289']
	39911 	4990 	1999 	['565']
	39911 	4990 	1998 	['565']
	772197 	14446 	1999 	['283']
	39917 	4993 	1999 	['233']
	39917 	4993 	1998 	['230']
	919012 	30059 	1999 	['565']
	801448 	13442 	1998 	['366']
	904816 	28623 	1998 	['504']
	1041061 	65417 	1999 	['581']
	773730 	11722 	1999 	['382']
	773730 	11722 	1998 	['382']
	1006835 	63180 	1999 	['737']
	1006835 	63180 	1998 	['737']
	1006837 	63952 	1999 	['481']
	1006837 	63952 	1998 	['481']
	16804 	2677 	1999 	['131']
	16804 	2677 	1998 	['131']
	754811 	12407 	1999 	['628']
	754811 	12407 	1998 	['628']
	856164 	20900 	1998 	['362']
	1056903 	9849 	1998 	['494']
	947427 	61253 	1999 	['737']
	947427 	61253 	1998 	['737']
	877890 	61676 	1999 	['737']
	877890 	61676 	1998 	['737']
	311817 	5408 	1999 	['679']
	311817 	5408 	1998 	['679']
	97216 	7991 	1999 	['353']
	97216 	7991 	1998 	['353']
	90498 	19355 	1999 	['602']
	90498 	19355 	1998 	['602']
	821616 	14285 	1999 	['283']
	821616 	14285 	1998 	['283']
	898173 	28180 	1999 	['553']
	898173 	28180 	1998 	['553']
	810084 	14395 	1999 	['679']
	810084 	14395 	1998 	['384']
	24090 	16775 	1999 	['631']
	24090 	16775 	1998 	['631']
	808326 	64637 	1999 	['355']
	1005126 	29619 	1999 	['603']
	1005126 	29619 	1998 	['603']
	942898 	60938 	1999 	['603']
	942898 	60938 	1998 	['603']
	773910 	11923 	1999 	['131']
	773910 	11923 	1998 	['131']
	874385 	24101 	1999 	['594']
	874385 	24101 	1998 	['594']
	888165 	4666 	1999 	['628']
	1002225 	61557 	1999 	['737']
	1002225 	61557 	1998 	['737']
	929940 	30870 	1999 	['737']
	929940 	30870 	1998 	['737']
	101844 	13054 	1999 	['602']
	101844 	13054 	1998 	['602']
	874389 	24105 	1999 	['308']
	874389 	24105 	1998 	['308']
	1310067 	6307 	1999 	['533']
	724941 	14895 	1999 	['504']
	724941 	14895 	1998 	['504']
	878865 	24637 	1998 	['729']
	1135185 	61155 	1998 	['452']
	1022926 	63984 	1999 	['737']
	1022926 	63984 	1998 	['737']
	894490 	16684 	1999 	['603']
	894490 	16684 	1998 	['603']
	943742 	64054 	1999 	['274']
	943742 	64054 	1998 	['274']
	753899 	9397 	1999 	['799']
	753899 	9397 	1998 	['799']
	880259 	62809 	1999 	['283']
	880259 	62809 	1998 	['283']
	1017815 	63593 	1999 	['342']
	71525 	7853 	1999 	['596']
	71525 	7853 	1998 	['596']
	1011060 	63029 	1999 	['384']
	798736 	12620 	1999 	['737']
	798736 	12620 	1998 	['737']
	799485 	14290 	1998 	['283']
	914479 	29367 	1999 	['394']
	914479 	29367 	1998 	['394']
	802724 	29032 	1999 	['283']
	802724 	29032 	1998 	['283']
	914475 	62921 	1999 	['283']
	914475 	62921 	1998 	['283']
	1024452 	64130 	1999 	['517']
	918160 	29968 	1998 	['331']
	1002044 	61573 	1999 	['737']
	1002044 	61573 	1998 	['737']
	313395 	4496 	1999 	['131']
	313395 	4496 	1998 	['131']
	1002047 	61591 	1999 	['357']
	1002047 	61591 	1998 	['357']
	780434 	14385 	1999 	['384']
	780434 	14385 	1998 	['384']
	84244 	8912 	1998 	['751']
	712815 	3584 	1999 	['737']
	712815 	3584 	1998 	['737']
	791915 	12215 	1999 	['367']
	791915 	12215 	1998 	['367']
	10081 	13365 	1999 	['283']
	10081 	13365 	1998 	['283']
	1028336 	29553 	1999 	['603']
	1028336 	29553 	1998 	['603']
	860749 	28253 	1999 	['357']
	860749 	28253 	1998 	['357']
	920947 	30257 	1999 	['283']
	920947 	30257 	1998 	['283']
	911004 	28997 	1999 	['594']
	911004 	28997 	1998 	['594']
	753568 	4476 	1999 	['367']
	753568 	4476 	1998 	['367']
	945771 	63825 	1998 	['481']
	895565 	25480 	1999 	['495']
	895565 	25480 	1998 	['495']
	33533 	4450 	1999 	['367']
	33533 	4450 	1998 	['367']
	1021010 	64535 	1999 	['131']
	804331 	13756 	1999 	['506']
	804331 	13756 	1998 	['506']
	892533 	25987 	1999 	['232']
	892533 	25987 	1998 	['232']
	54187 	7138 	1999 	['651']
	54187 	7138 	1998 	['651']
	913885 	29386 	1999 	['367']
	913885 	29386 	1998 	['367']
	917523 	29921 	1999 	['335']
	917523 	29921 	1998 	['335']
	856984 	21505 	1998 	['283']
	920769 	30550 	1999 	['603']
	920769 	30550 	1998 	['603']
	856982 	21777 	1999 	['384']
	856982 	21777 	1998 	['384']
	787809 	11934 	1999 	['382']
	787809 	11934 	1998 	['382']
	793074 	12266 	1999 	['421']
	793074 	12266 	1998 	['421']
	930796 	31009 	1999 	['701']
	930796 	31009 	1998 	['701']
	930245 	31232 	1998 	['799']
	805792 	12992 	1999 	['355']
	805792 	12992 	1998 	['355']
	793983 	12378 	1998 	['233']
	718789 	25980 	1999 	['399']
	718789 	25980 	1998 	['399']
	356342 	7430 	1999 	['289']
	356342 	7430 	1998 	['289']
	949240 	61403 	1999 	['452']
	949240 	61403 	1998 	['452']
	913950 	29626 	1998 	['513']
	830404 	29033 	1998 	['783']
	725549 	3063 	1999 	['799']
	725549 	3063 	1998 	['799']
	922811 	30594 	1999 	['628']
	922811 	30594 	1998 	['620']
	798288 	7852 	1999 	['679']
	798288 	7852 	1998 	['679']
	884731 	30674 	1999 	['283']
	884731 	30674 	1998 	['283']
	814258 	13474 	1999 	['384']
	814258 	13474 	1998 	['384']
	863456 	22612 	1999 	['562']
	863456 	22612 	1998 	['562']
	837991 	14897 	1999 	['384']
	837991 	14897 	1998 	['384']
	798287 	12598 	1999 	['421']
	798287 	12598 	1998 	['421']
	803227 	13067 	1999 	['573']
	803227 	13067 	1998 	['573']
	1304994 	16991 	1999 	['602']
	1304994 	16991 	1998 	['602']
	916235 	29709 	1999 	['737']
	916235 	29709 	1998 	['737']
	916238 	29661 	1999 	['737']
	916238 	29661 	1998 	['737']
	930429 	31535 	1999 	['603']
	930429 	31535 	1998 	['603']
	769397 	1878 	1999 	['737']
	769397 	1878 	1998 	['737']
	917639 	29822 	1998 	['366']
	1023362 	64103 	1999 	['366']
	1023362 	64103 	1998 	['366']
	917321 	29757 	1999 	['519']
	917321 	29757 	1998 	['519']
	814898 	14466 	1999 	['641']
	814898 	14466 	1998 	['641']
	921183 	30416 	1999 	['603']
	921183 	30416 	1998 	['603']
	225261 	3700 	1999 	['251']
	225261 	3700 	1998 	['251']
	728389 	11832 	1999 	['808']
	728389 	11832 	1998 	['808']
	949491 	61402 	1999 	['366']
	949491 	61402 	1998 	['366']
	906551 	28700 	1999 	['737']
	906551 	28700 	1998 	['737']
	906553 	29011 	1999 	['799']
	906553 	29011 	1998 	['799']
	1095651 	15142 	1999 	['679']
	1095651 	15142 	1998 	['679']
	763730 	1518 	1999 	['599']
	763730 	1518 	1998 	['599']
	1002816 	61828 	1998 	['633']
	918184 	30496 	1999 	['641']
	918184 	30496 	1998 	['641']
	1022581 	63975 	1999 	['421']
	1022581 	63975 	1998 	['421']
	890784 	22601 	1999 	['737']
	890784 	22601 	1998 	['736']
	945394 	61188 	1999 	['679']
	945394 	61188 	1998 	['679']
	78128 	8542 	1999 	['494']
	78128 	8542 	1998 	['494']
	1045609 	29984 	1999 	['679']
	1045609 	29984 	1998 	['679']
	887637 	25921 	1999 	['401']
	1004960 	62237 	1999 	['283']
	1004960 	62237 	1998 	['283']
	725058 	12274 	1999 	['283']
	725058 	12274 	1998 	['283']
	1023184 	64029 	1999 	['737']
	72243 	7917 	1999 	['507']
	72243 	7917 	1998 	['507']
	812150 	13716 	1999 	['679']
	812150 	13716 	1998 	['679']
	933524 	31515 	1999 	['737']
	933524 	31515 	1998 	['737']
	1045956 	65957 	1999 	['679']
	1031623 	64568 	1999 	['353']
	803647 	12804 	1998 	['871']
	860546 	24825 	1999 	['679']
	860546 	24825 	1998 	['679']
	803649 	13579 	1999 	['679']
	803649 	13579 	1998 	['679']
	716006 	11649 	1998 	['421']
	717238 	6922 	1999 	['737']
	717238 	6922 	1998 	['737']
	856569 	22507 	1999 	['873']
	87744 	9313 	1999 	['367']
	87744 	9313 	1998 	['367']
	66570 	7420 	1999 	['384']
	66570 	7420 	1998 	['384']
	1000697 	61574 	1999 	['382']
	1000697 	61574 	1998 	['382']
	225648 	23485 	1999 	['633']
	225648 	23485 	1998 	['633']
	746425 	12192 	1999 	['621']
	746425 	12192 	1998 	['641']
	887708 	30185 	1999 	['283']
	887708 	30185 	1998 	['283']
	868809 	28256 	1999 	['131']
	868809 	28256 	1998 	['131']
	61494 	61187 	1999 	['285']
	61494 	61187 	1998 	['285']
	866374 	30170 	1999 	['367']
	866374 	30170 	1998 	['367']
	722392 	29435 	1999 	['367']
	722392 	29435 	1998 	['367']
	927003 	61562 	1999 	['367']
	927003 	61562 	1998 	['367']
	835541 	17110 	1999 	['367']
	835541 	17110 	1998 	['367']
	830750 	17322 	1999 	['603']
	830750 	17322 	1998 	['603']
	876437 	24379 	1999 	['635']
	876437 	24379 	1998 	['635']
	65984 	7366 	1998 	['491']
	69970 	7711 	1999 	['602']
	69970 	7711 	1998 	['602']
	934549 	61004 	1998 	['628']
	715446 	12717 	1999 	['357']
	715446 	12717 	1998 	['357']
	717306 	16778 	1999 	['602']
	717306 	16778 	1998 	['602']
	793523 	12560 	1998 	['384']
	793524 	12377 	1999 	['873']
	793524 	12377 	1998 	['873']
	1029800 	5763 	1998 	['679']
	1018349 	64455 	1999 	['354']
	310522 	4601 	1999 	['611']
	310522 	4601 	1998 	['611']
	811917 	13614 	1998 	['621']
	70858 	7647 	1999 	['602']
	70858 	7647 	1998 	['602']
	1030715 	64602 	1999 	['508']
	886475 	25845 	1999 	['731']
	899689 	11220 	1999 	['679']
	899689 	11220 	1998 	['679']
	19353 	2938 	1999 	['562']
	19353 	2938 	1998 	['562']
	878079 	24483 	1999 	['531']
	878079 	24483 	1998 	['531']
	927760 	30777 	1998 	['571']
	96536 	10349 	1999 	['356']
	96536 	10349 	1998 	['356']
	784721 	14554 	1998 	['365']
	831327 	14503 	1998 	['206']
	921366 	30358 	1999 	['394']
	921366 	30358 	1998 	['394']
	796343 	12540 	1999 	['737']
	796343 	12540 	1998 	['737']
	1061630 	20791 	1999 	['615']
	1061630 	20791 	1998 	['615']
	912593 	29359 	1999 	['679']
	912593 	29359 	1998 	['679']
	912595 	29649 	1999 	['679']
	912595 	29649 	1998 	['679']
	912597 	29707 	1998 	['679']
	31978 	4241 	1999 	['491']
	31978 	4241 	1998 	['491']
	315136 	3862 	1998 	['448']
	315131 	19433 	1999 	['131']
	315131 	19433 	1998 	['131']
	310450 	8014 	1999 	['384']
	310450 	8014 	1998 	['384']
	217084 	11531 	1999 	['363']
	217084 	11531 	1998 	['363']
	856751 	31462 	1999 	['603']
	856751 	31462 	1998 	['603']
